Year,Age,Tm,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
2001,24,NWE,3,3,60,97,61.9,572,1,1,1,1,29,29,5.9,5.6,9.5,190.7,77.3,5,36,4.9,5.25,5.01,1,2
2003,26,NWE,3,3,75,126,59.5,792,5,4,2,1.6,43,52,6.3,6.4,10.6,264,84.5,0,0,0,6.29,6.37,1,2
2004,27,NWE,3,3,55,81,67.9,587,5,6.2,0,0,32,60,7.2,8.5,10.7,195.7,109.4,7,57,8,6.02,7.16,0,1
2005,28,NWE,2,2,35,63,55.6,542,4,6.3,2,3.2,22,73,8.6,8.4,15.5,271,92.2,4,12,6,7.91,7.76,,
2006,29,NWE,3,3,70,119,58.8,724,5,4.2,4,3.4,35,49,6.1,5.4,10.3,241.3,76.5,4,22,3.3,5.71,5.06,1,1
2007,30,NWE,3,3,77,109,70.6,737,6,5.5,3,2.8,41,53,6.8,6.6,9.6,245.7,96,8,52,6.8,5.85,5.73,,
2009,32,NWE,1,1,23,42,54.8,154,2,4.8,3,7.1,9,24,3.7,1.4,6.7,154,49.1,3,22,6.7,2.93,0.82,,
2010,33,NWE,1,1,29,45,64.4,299,2,4.4,1,2.2,19,37,6.6,6.5,10.3,299,89,5,40,10,5.18,5.08,,
2011,34,NWE,3,3,75,111,67.6,878,8,7.2,4,3.6,49,61,7.9,7.7,11.7,292.7,100.4,3,15,2.6,7.57,7.39,1,1
2012,35,NWE,2,2,54,94,57.4,664,4,4.3,2,2.1,34,47,7.1,7,12.3,332,84.7,1,9,1.1,6.89,6.79,,
2013,36,NWE,2,2,37,63,58.7,475,1,1.6,0,0,24,53,7.5,7.9,12.8,237.5,87.7,4,34,6,6.58,6.88,,
2014,37,NWE,3,3,93,135,68.9,921,10,7.4,4,3,56,46,6.8,7,9.9,307,100.3,4,24,2.9,6.45,6.6,2,2
2015,38,NWE,2,2,55,98,56.1,612,3,3.1,2,2,31,42,6.2,5.9,11.1,306,76.6,4,18,3.9,5.82,5.53,,
2016,39,NWE,3,3,93,142,65.5,1137,7,4.9,3,2.1,55,48,8,8,12.2,379,97.7,9,42,6,7.25,7.28,1,1
2017,40,NWE,3,3,89,139,64,1132,8,5.8,0,0,60,50,8.1,9.3,12.7,377.3,108.6,4,17,2.8,7.8,8.92,1,1
2018,41,NWE,3,3,85,125,68,953,2,1.6,3,2.4,50,35,7.6,6.9,11.2,317.7,85.8,1,9,0.8,7.49,6.74,1,2
2019,42,NWE,1,1,20,37,54.1,209,0,0,1,2.7,11,29,5.6,4.4,10.5,209,59.4,0,0,0,5.65,4.43,,
2020,43,TAM,4,4,81,138,58.7,1061,10,7.2,3,2.2,55,52,7.7,8.2,13.1,265.3,98.1,6,37,4.2,7.11,7.56,0,1
2021,44,TAM,2,2,59,91,64.8,600,3,3.3,1,1.1,28,55,6.6,6.8,10.2,300,90,7,49,7.1,5.62,5.78,,
